##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	BT20 paired-end RNA-seq subsampled _end 1_
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	419200
Sequences flagged as poor quality	0
Sequence length	50
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
13	26	-0.49571792858642993
13	27	-0.4075789195343802
13	28	-0.3391649905367302
13	29	-0.5759079277840371
13	30	-0.4281788488357847
13	31	-0.4367577293102016
13	32	-0.2462691585020238
13	33	-0.4335177785687776
13	34	-0.4929411330363962
13	35	-0.6647871800033514
13	36	0.1786248081107118
13	37	0.10901420692994179
13	38	-0.21914304638097093
13	39	0.0551578713074079
13	40	0.004171785671765349
13	41	-0.20891321723980383
13	42	-0.2058075010270386
13	43	-0.11140755217594034
13	44	-0.3072414967165926
13	45	-0.14673765137352746
13	46	0.10996031248490112
13	47	0.028722068828479053
13	48	0.11213885982023442
13	49	0.18297596561350815
13	50	0.14584196947313188
14	1	0.022366712799346544
14	2	0.12855952246651725
14	3	-0.018131888731083734
14	4	0.04314485769869236
14	5	0.06446119437711673
14	6	-0.020461590795321172
14	7	-0.017501339871870414
14	8	-0.13849191448294818
14	9	0.009570455191678207
14	10	-0.013623274641481942
14	11	-0.20010022125828186
14	12	-0.2965704279516217
14	13	-0.04827190285055849
14	14	-0.15506268815083502
14	15	-0.07348689501741745
14	16	-0.37060879183764683
14	17	-0.3121455922921825
14	18	-0.14570416203101644
14	19	-0.47804201779822364
14	20	-0.35969923135363047
14	21	-0.10258055122309884
14	22	-0.14301948075611648
14	23	-0.1570580692023995
14	24	-0.20715074296006009
14	25	0.02206688286999281
14	26	-0.3413519050785965
14	27	0.03559993447831289
14	28	0.10325503618031462
14	29	-0.24144689277522247
14	30	-0.30115432132434705
14	31	-0.2648201112374693
14	32	-0.09805279786935017
14	33	-0.059360590656261536
14	34	-0.004778048403437651
14	35	0.04813106425999081
14	36	0.3062026471918955
14	37	-0.03410378281008519
14	38	-0.033570250339522545
14	39	0.2863314451468426
14	40	-0.07696740380583122
14	41	-0.43969156852941893
14	42	-0.16010396536610472
14	43	-0.1539414029873285
14	44	-0.048599955664826666
14	45	-0.15084006144063267
14	46	0.26274544579346326
14	47	0.011079334204609381
14	48	0.10187097797597033
14	49	0.021812114248810133
14	50	0.0948661649976259
15	1	-0.12782299179167467
15	2	-0.27511362232198877
15	3	-0.27692540066838944
15	4	-0.3380868138555613
15	5	-0.31416100354525156
15	6	-0.3478055608402215
15	7	-0.24487347566390838
15	8	-0.3397361777829815
15	9	-0.06385930440538345
15	10	-0.1724946565855845
15	11	-0.291440082417715
15	12	-0.17674174196656622
15	13	-0.07875718210566163
15	14	0.005738875876531324
15	15	-0.33380467091748045
15	16	-0.27345353229857494
15	17	-0.3531930267239787
15	18	-0.1969244016055498
15	19	-0.5032089412702305
15	20	-0.5601979307588394
15	21	-0.17480912454516329
15	22	-0.47768654505686214
15	23	-0.5576909701086734
15	24	-0.4760342196073424
15	25	-0.6023760152197042
15	26	-0.32040155963399286
15	27	-0.4546497465860213
15	28	-0.4617912716215997
15	29	-0.48100485622602207
15	30	-0.7138322211536945
15	31	-0.7171040219686162
15	32	-0.6547239379193854
15	33	-0.5480197354116356
15	34	-0.5829711328841114
15	35	-0.41913868075715754
15	36	-0.6387416011968554
15	37	-0.6026293887878467
15	38	-0.36634026873009873
15	39	-0.6352269490742088
15	40	-1.265636489413133
15	41	-0.732060307863712
15	42	-1.0767167857514792
15	43	-0.8759620468231688
15	44	-0.91436531842308
15	45	-1.3803329123112889
15	46	-0.8634205332976066
15	47	-1.0944676611728923
15	48	-1.006177798470837
15	49	-1.3331508560777507
15	50	-1.0549590416892514
16	1	0.027297064705500418
16	2	0.01964273361021185
16	3	0.08640440159150131
16	4	0.024413186144435883
16	5	-0.06951057981643771
16	6	-0.164578159710274
16	7	0.01958627009880587
16	8	0.14036622334696602
16	9	-0.11834376768221944
16	10	-0.191015136811572
16	11	-0.21836451744596275
16	12	-0.18931236343549074
16	13	-0.5267268148740243
16	14	-0.20467779079013582
16	15	-0.3945921002960162
16	16	0.05288827561103204
16	17	-0.2015334222042071
16	18	-0.20200914736826547
16	19	-0.07008747234367974
16	20	0.06614387715076475
16	21	-0.30115093245476743
16	22	-0.45842453940714734
16	23	-0.33198475541940553
16	24	-0.8747277224321977
16	25	-0.27358011126489856
16	26	-0.3732617291255167
16	27	-0.19817022681201024
16	28	-0.40238096088713604
16	29	-0.639073359050883
16	30	-0.19181597821584262
16	31	-0.20465698807031174
16	32	-0.3174534576933965
16	33	-0.5541461478410099
16	34	-0.4979781950310027
16	35	-0.4432912231300392
16	36	-0.3871349627787808
16	37	-0.28712797635846954
16	38	-0.11702882805213477
16	39	-0.4610567513340982
16	40	-0.24125442726624158
16	41	-0.12010762424789334
16	42	-0.20238768970628485
16	43	-0.580022781286452
16	44	-0.30650868000500253
16	45	-0.42823192361072415
16	46	-0.5141973694558004
16	47	-0.3738638476135705
16	48	-0.49302454988326616
16	49	-0.23616992387435687
16	50	-0.5268163863220181
17	1	-0.4026642755006833
17	2	-0.24501577154443055
17	3	-0.0817334850064384
17	4	-0.3148909375669007
17	5	-0.1731510437339594
17	6	-0.24634362362780138
17	7	-0.29545883299397957
17	8	-0.22281032304478998
17	9	-0.15809892232139333
17	10	-0.26031281722394084
17	11	-0.25634776486864297
17	12	-0.3338999923014754
17	13	-0.21445233033794153
17	14	-0.256288615532398
17	15	-0.2733614301929208
17	16	-0.2926014151106173
17	17	-0.19992259746194208
17	18	-0.4607720339662009
17	19	-0.21093798780759698
17	20	-0.2262530300657275
17	21	-0.16854783967126252
17	22	-0.16625314765456523
17	23	-0.2541497038730185
17	24	-0.33020452655591015
17	25	-0.39416645147108653
17	26	-0.6067024507749963
17	27	-0.5940142989769583
17	28	-0.5468719402685807
17	29	-0.7655875343086151
